category,event_type,event_classification,round_label,points
J30,singles,main_draw,SF,15
J30,singles,main_draw,F,21
J30,singles,main_draw,W,30
J30,doubles,main_draw,R128,0
J30,doubles,main_draw,R64,1
J30,doubles,main_draw,R32,2
J30,doubles,main_draw,R16,5
J30,doubles,main_draw,QF,9
J30,doubles,main_draw,SF,15
J30,doubles,main_draw,F,21
J30,doubles,main_draw,W,30
JGS,singles,qualifying,Q1,0
JGS,singles,qualifying,Q2,0
JGS,singles,qualifying,Q3,0
JGS,singles,qualifying,Q,0
JGS,singles,qualifying,W,0
JGS,doubles,qualifying,Q1,0
JGS,doubles,qualifying,Q2,0
JGS,doubles,qualifying,Q3,0
JGS,doubles,qualifying,Q,0
JGS,doubles,qualifying,W,0
J500,singles,qualifying,Q1,0
J500,singles,qualifying,Q2,0
J500,singles,qualifying,Q3,0
J500,singles,qualifying,Q,0
J500,singles,qualifying,W,0
J500,doubles,qualifying,Q1,0
J500,doubles,qualifying,Q2,0
J500,doubles,qualifying,Q3,0
J500,doubles,qualifying,Q,0
J500,doubles,qualifying,W,0
J300,singles,qualifying,Q1,0
J300,singles,qualifying,Q2,0
J300,singles,qualifying,Q3,0
J300,singles,qualifying,Q,0
J300,singles,qualifying,W,0
J300,doubles,qualifying,Q1,0
J300,doubles,qualifying,Q2,0
J300,doubles,qualifying,Q3,0
J300,doubles,qualifying,Q,0
J300,doubles,qualifying,W,0
J200,singles,qualifying,Q1,0
J200,singles,qualifying,Q2,0
J200,singles,qualifying,Q3,0
J200,singles,qualifying,Q,0
J200,singles,qualifying,W,0
J200,doubles,qualifying,Q1,0
J200,doubles,qualifying,Q2,0
J200,doubles,qualifying,Q3,0
J200,doubles,qualifying,Q,0
J200,doubles,qualifying,W,0
J100,singles,qualifying,Q1,0
J100,singles,qualifying,Q2,0
J100,singles,qualifying,Q3,0
J100,singles,qualifying,Q,0
J100,singles,qualifying,W,0
J100,doubles,qualifying,Q1,0
J100,doubles,qualifying,Q2,0
J100,doubles,qualifying,Q3,0
J100,doubles,qualifying,Q,0
J100,doubles,qualifying,W,0
J60,singles,qualifying,Q1,0
J60,singles,qualifying,Q2,0
J60,singles,qualifying,Q3,0
J60,singles,qualifying,Q,0
J60,singles,qualifying,W,0
J60,doubles,qualifying,Q1,0
J60,doubles,qualifying,Q2,0
J60,doubles,qualifying,Q3,0
J60,doubles,qualifying,Q,0
J60,doubles,qualifying,W,0
J30,singles,qualifying,Q1,0
J30,singles,qualifying,Q2,0
J30,singles,qualifying,Q3,0
J30,singles,qualifying,Q,0
J30,singles,qualifying,W,0
J30,doubles,qualifying,Q1,0
J30,doubles,qualifying,Q2,0
J30,doubles,qualifying,Q3,0
J30,doubles,qualifying,Q,0
J30,doubles,qualifying,W,0
